"Gene","adj.P.Val","adj.P.Val.1","adj.P.Val.2"
"TC02002204.hg.1:1",1.08951219624163e-12,1.38171289258401e-52,5.43196318913731e-35
"TC02002886.hg.1:2",1.08951219624163e-12,4.21911905266661e-47,8.19242490410632e-32
"TC01001767.hg.1:2",1.08951219624163e-12,3.31941320638352e-56,2.19103701907963e-33
"TC11001478.hg.1:1",4.16729100479832e-12,2.76890137932996e-46,1.37571213228188e-30
"TC04000155.hg.1:3",9.42574442012522e-12,2.83752048489954e-49,2.47294418286511e-29
"TC16000258.hg.1:2",9.92788225778336e-12,8.47582915504118e-49,1.13587626554896e-31
"TC15000306.hg.1:1",1.72620863835504e-11,5.78716626694557e-50,6.04688695018559e-32
"TC03000242.hg.1:3",1.72620863835504e-11,7.28163566155697e-43,3.11359854894257e-28
"TC20000198.hg.1:2",1.74902771686902e-11,3.60322702820291e-51,6.45409190429016e-33
"TC04001516.hg.1:1",2.18459456657666e-11,9.57839307286159e-53,4.28408026450026e-32
"TC06000761.hg.1:2",2.35563947462392e-11,3.5048525050109e-44,9.73950979630877e-28
"TC01001717.hg.1:3",2.63008883393601e-11,1.24632535695077e-53,2.16187575823639e-30
"TC18000006.hg.1:2",2.63008883393601e-11,8.22933914866204e-52,5.48345863973621e-30
"TC10000098.hg.1:3",2.63008883393601e-11,2.71084171304173e-49,4.50162075123626e-31
"TC08000213.hg.1:2",2.63008883393601e-11,3.02084423883594e-47,2.36064088128617e-32
"TC17001462.hg.1:1",3.02785481874262e-11,1.23692874298936e-51,6.27026405601785e-33
"TC01001045.hg.1:3",3.87211684265843e-11,2.18244955989176e-54,3.10812085936355e-31
"TC02000057.hg.1:2",4.54742774444252e-11,6.49086021603408e-51,1.29598990023025e-32
"TC17001109.hg.1:2",4.54742774444252e-11,1.11093849509529e-42,1.51263353543464e-27
"TC12001106.hg.1:1",6.03209276855677e-11,6.57942349222078e-41,9.75503365254206e-25
"TC08000346.hg.1:4",6.50544727640739e-11,3.21171495625513e-51,8.77467658045832e-32
"TC08000196.hg.1:2",1.03210428628934e-10,2.57057538419699e-34,2.63824270968175e-20
"TC10001756.hg.1:1",1.03210428628934e-10,8.88301074387186e-47,3.16208408039281e-29
"TC05000697.hg.1:2",1.12524313679349e-10,1.32458525288765e-43,2.37810541400733e-25
"TC04000645.hg.1:2",1.13766656490818e-10,2.15297715684911e-37,6.04622420588827e-28
"TC01002658.hg.1:2",1.41573844884049e-10,7.55279485827044e-45,2.33451804504672e-26
"TC12002032.hg.1:3",1.41573844884049e-10,1.02859458246887e-37,5.21797440974069e-20
"TC15000638.hg.1:4",1.6992693974956e-10,8.79393944654877e-46,7.66118459646496e-28
"TC02000582.hg.1:2",1.92884087333858e-10,5.92695904704137e-43,6.13207179486208e-29
"TC07001993.hg.1:1",2.74560200620452e-10,1.40616516826437e-37,1.23346069060737e-24
"TC18000009.hg.1:1",3.91320794822473e-10,1.35585861352375e-52,4.06879697806411e-30
"TC15000846.hg.1:5",4.91639048060052e-10,5.60917870942892e-45,8.38165698843643e-28
"TC17000495.hg.1:2",5.01780794231197e-10,7.1729399181759e-51,2.47294418286511e-29
"TC02002217.hg.1:1",7.51163144893711e-10,2.25743656441647e-35,7.78105051045979e-25
"TC10000659.hg.1:2",7.51163144893711e-10,5.71042348493219e-45,1.85992599352202e-29
"TC20000320.hg.1:2",7.74305832248292e-10,9.9009863236238e-38,4.23481464487825e-28
"TC06000265.hg.1:1",1.23490724158911e-09,8.22916055455796e-42,3.2116157256935e-29
